,precision,recall,f1-score,support
Ceroplastes rubens,0.868421052631579,0.8461538461538461,0.8571428571428571,78.0
Chrysomphalus aonidum,0.9230769230769231,0.5294117647058824,0.6728971962616822,68.0
Parlatoria zizyphus Lucus,0.35091743119266056,0.5708955223880597,0.4346590909090909,268.0
Nipaecoccus vastalor,0.8125,0.5652173913043478,0.6666666666666666,23.0
Aleurocanthus spiniferus,0.5384615384615384,0.23333333333333334,0.32558139534883723,30.0
Tetradacus c Bactrocera minax,0.8401826484018264,0.8846153846153846,0.8618266978922716,208.0
Dacus dorsalis(Hendel),0.6946564885496184,0.7777777777777778,0.7338709677419355,117.0
Bactrocera tsuneonis,0.644927536231884,0.6742424242424242,0.6592592592592592,132.0
Prodenia litura,0.5862068965517241,0.3333333333333333,425,51.0
Adristyrannus,0.6185819070904646,0.6454081632653061,0.6317103620474407,392.0
Phyllocnistis citrella Stainton,528,0.7021276595744681,0.6027397260273972,94.0
Toxoptera citricidus,0.8431372549019608,0.7049180327868853,0.7678571428571429,122.0
Toxoptera aurantii,0.4230769230769231,0.38596491228070173,0.4036697247706422,57.0
Aphis citricola Vander Goot,0.5333333333333333,0.1927710843373494,0.2831858407079646,166.0
Scirtothrips dorsalis Hood,0.7241379310344828,0.3088235294117647,0.4329896907216495,68.0
Dasineura sp,0.5362318840579711,0.6981132075471698,0.6065573770491803,106.0
Lawana imitata Melichar,0.6945812807881774,0.5802469135802469,0.6322869955156951,243.0
Salurnis marginella Guerr,0.524822695035461,0.4868421052631579,0.5051194539249146,152.0
Deporaus marginatus Pascoe,0.6454545454545455,0.8160919540229885,0.7208121827411168,174.0
Chlumetia transversa,0.762962962962963,0.7006802721088435,0.7304964539007093,147.0
Mango flat beak leafhopper,0.6,0.7142857142857143,0.6521739130434783,63.0
Rhytidodera bowrinii white,0.6226415094339622,0.358695652173913,0.45517241379310347,92.0
Sternochetus frigidus,1.0,0.32142857142857145,0.4864864864864865,28.0
Cicadellidae,0.59375,0.5688622754491018,0.581039755351682,167.0
accuracy,0.6706750961580972,0.6706750961580972,0.6706750961580972,0.6706750961580972
macro avg,0.6416391725278359,0.5712329510305298,0.5857207088182999,22619.0
weighted avg,0.6756100673236036,0.6706750961580972,0.6623925887063861,22619.0
